job_title,rating,company_name,industry,old title,salary_lower,salary_upper,salary,City,State,max_emp_size,min_emp_size,company_age,python,excel,hadoop,spark,aws,tableau,big_data,numpy,pandas,machine_learning,power_bi,sql,deep_learning
data scientist,3.5,ThreeBridge Solutions,Consulting,Data Scientist,69,116,127.0,Alpharetta,GA,1000,501,12,1,0,0,0,0,0,0,0,0,1,0,1,1
data scientist,3.2,"Numeric, LLC",Staffing & Outsourcing,Data Scientist,69,116,127.0,Philadelphia,PA,50,1,1,1,0,1,1,1,0,0,0,0,1,0,1,0
data analyst,3.8,Dermalogica,Consumer Products Manufacturing,Data Analyst - Unilever Prestige,69,116,127.0,Carson,CA,500,201,35,1,0,0,0,0,1,0,0,0,0,0,1,0
data scientist,4.2,Centraprise,IT Services,Data Scientist,69,116,127.0,Foster City,CA,200,51,1,1,0,0,0,0,0,0,0,0,1,0,1,0
data scientist,4.8,TechProjects,IT Services,Data Scientist,69,116,127.0,New York,NY,50,1,10,1,1,0,0,0,1,0,0,0,0,0,1,0
data scientist,4.2,DW Simpson,Staffing & Outsourcing,Data Scientist,69,116,127.0,Frederick,MD,200,51,32,1,1,0,0,0,1,0,0,0,0,0,1,0
machine learning engineer,3.3,Tempus Labs,Biotech & Pharmaceuticals,Data & Machine Learning Scientist,31,56,59.0,Chicago,IL,1000,501,6,1,0,0,0,1,0,0,1,1,1,0,1,1
data scientist,4.0,Grid Dynamics,Enterprise Software & Network Solutions,Data Scientist,31,56,59.0,Santa Clara,CA,5000,1001,15,1,1,0,0,0,1,0,0,0,0,0,1,0
data science manager,3.9,7Park Data,Research & Development,"VP, Data Science",31,56,59.0,New York,NY,200,51,9,1,1,0,1,0,0,0,0,0,1,0,0,1
senior data analyst,3.7,Protolabs,Miscellaneous Manufacturing,Senior Business Intelligence Analyst,31,56,59.0,Maple Plain,MN,5000,1001,22,0,0,0,0,0,0,0,0,0,0,0,1,0
data scientist,3.9,LinQuest,Aerospace & Defense,Data Scientist,31,56,59.0,Colorado Springs,CO,1000,501,17,1,1,0,0,0,1,0,0,0,0,1,1,0
data engineer,3.5,Western Digital,Computer Hardware & Software,Data Engineer - Kafka,31,56,59.0,San Jose,CA,10000,10000,51,1,0,1,1,1,0,0,0,0,1,0,0,1
data scientist,4.0,Trexquant Investment,Investment Banking & Asset Management,Data Scientist,31,56,59.0,United States,,50,1,9,1,0,0,0,0,0,0,0,0,1,0,1,0
data scientist,3.0,Ameritas Life Insurance Corp,Insurance Agencies & Brokerages,Data Scientist,31,56,59.0,Cincinnati,OH,5000,1001,134,0,0,0,0,0,0,0,0,0,0,0,0,0
data scientist,3.7,Fleetcor,Financial Transaction Processing,Data Scientist,31,56,59.0,Atlanta,GA,10000,5001,21,1,1,0,0,0,1,0,0,0,1,0,0,0
data scientist,4.5,Radiant Digital,Unknown,Data Scientist,31,56,59.0,Washington,DC,50,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0
data scientist,2.8,Child Care Aware of America,Social Assistance,Data Scientist,31,56,59.0,Arlington,VA,200,51,34,1,1,0,0,1,0,0,0,0,1,0,1,1
data scientist,4.1,IntelliPro Group Inc.,Unknown,Data Scientist,31,56,59.0,Santa Clara,CA,500,201,1,1,1,1,0,0,0,0,0,0,1,0,0,0
data analyst,2.9,Quest Integrity,Oil & Gas Services,In-Line Inspection Data Analyst,31,56,59.0,Tulsa,OK,500,201,25,0,1,0,0,0,0,0,0,0,0,0,0,0
data scientist,4.7,Praxis Engineering,Computer Hardware & Software,Data Scientist,31,56,59.0,Chantilly,VA,500,201,19,0,0,0,0,1,0,0,0,0,0,0,1,0
data scientist,3.4,USI,Construction,Data Scientist,31,56,59.0,Southfield,MI,5000,1001,23,1,1,0,0,0,0,0,0,0,1,1,1,0
data scientist,3.9,Apex Systems,Staffing & Outsourcing,Data Scientist,31,56,59.0,San Francisco,CA,5000,1001,26,0,0,0,0,0,0,0,0,0,0,0,1,0
data scientist,2.9,"Pragmatics, Inc.",IT Services,Data Scientist,31,56,59.0,United States,,500,201,36,1,0,1,0,1,0,0,0,0,0,0,0,0
data scientist,4.5,Johns Hopkins University Applied Physics Laboratory,Aerospace & Defense,Decision Scientist,31,56,59.0,Laurel,MD,10000,5001,79,0,1,0,1,0,0,0,0,0,0,0,0,0
data scientist,4.9,Cambridge Mobile Telematics,Enterprise Software & Network Solutions,Data Scientist,31,56,59.0,Cambridge,MA,50,1,11,1,0,0,1,1,0,0,1,1,1,0,0,0
data scientist,5.0,Phoenix Operations Group,IT Services,Data Scientist - TS/SCI FSP or CI Required,31,56,59.0,Annapolis Junction,MD,50,1,10,1,0,0,1,0,0,0,0,0,1,0,0,0
machine learning engineer,3.3,Tempus Labs,Biotech & Pharmaceuticals,"Data Scientist, Applied Machine Learning - Bay Area",95,119,154.5,Redwood City,CA,1000,501,6,1,0,0,0,1,0,0,1,1,1,0,1,0
data scientist,3.5,The Knot Worldwide,Internet,Data Scientist,95,119,154.5,Washington,DC,5000,1001,2,1,0,0,1,1,0,0,0,0,1,0,0,0
data scientist,3.5,Crossover Health,Health Care Services & Hospitals,Data Scientist,95,119,154.5,San Clemente,CA,50,1,11,1,1,0,0,0,1,0,0,1,0,0,0,0
data scientist,4.0,Lorven Technologies Inc,Accounting,Data Scientist,95,119,154.5,New York,NY,50,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0
data analyst,3.9,Nolij Consulting,Consulting,Data Analyst,95,119,154.5,Falls Church,VA,200,51,9,1,1,0,0,0,1,0,0,0,0,0,1,0
data scientist,3.4,Dice.com,Staffing & Outsourcing,Data Scientist,95,119,154.5,Newton,MA,500,201,31,1,1,0,0,1,0,0,0,0,1,0,1,1
data scientist,3.5,Gap Inc.,"Department, Clothing, & Shoe Stores",Data Scientist,95,119,154.5,San Francisco,CA,10000,10000,52,1,0,0,1,0,0,0,0,0,1,0,1,1
data scientist,4.7,"Tygart Technology, Inc",Unknown,Data Scientist,95,119,154.5,Washington,DC,50,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0
data scientist,4.6,Murray Resources,Staffing & Outsourcing,Data Scientist,95,119,154.5,The Woodlands,TX,50,1,33,1,1,1,0,0,1,0,0,0,0,0,1,0
data scientist,4.0,New York Technology Partners,Computer Hardware & Software,Data Scientist,95,119,154.5,Seattle,WA,200,51,22,1,1,1,1,1,0,0,1,1,1,0,1,1
data scientist,4.0,Two95 International Inc.,Staffing & Outsourcing,Data Scientist,95,119,154.5,Chicago,IL,50,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0
data scientist,,Sophinea,Unknown,Data Scientist,95,119,154.5,Chantilly,VA,50,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
data scientist,4.7,CRS Group,Staffing & Outsourcing,Data Scientist,95,119,154.5,Chicago,IL,200,51,27,0,0,0,0,0,0,0,0,0,0,0,0,0
data scientist,3.5,Blackstone Talent Group,Consulting,Data Scientist,95,119,154.5,San Francisco,CA,200,51,23,1,0,0,0,1,0,0,0,0,1,0,0,1
data scientist,5.0,Phoenix Operations Group,IT Services,Data Scientist - TS/SCI Required,95,119,154.5,Baltimore,MD,50,1,10,1,0,0,1,0,0,0,1,1,1,0,0,0
data science manager,4.1,Roche,Biotech & Pharmaceuticals,Senior Principal Data Scientist (Python/R),212,331,377.5,Pleasanton,CA,10000,10000,125,1,1,1,1,0,0,0,0,0,1,0,1,0
data scientist,4.0,AstraZeneca,Biotech & Pharmaceuticals,"Real World Science, Data Scientist",212,331,377.5,Wilmington,DE,10000,10000,108,1,0,1,0,0,0,0,0,0,1,0,1,0
